Metric,Value
Annual Return,41.6%
Volatility,19.5%
Sharpe Ratio,1.90
Sortino Ratio,3.23
Treynor Ratio,0.37
Information Ratio,1.20
Max Drawdown,-16.0%
VaR 95%,-1.6%
CVaR 95%,-2.4%
VaR 99%,-2.7%
CVaR 99%,-3.3%
Beta,1.00
Alpha,17.5%
Diversification Score,86/100

Date,Portfolio Return,Cumulative Return
2026-08-12,-0.00897,0.403625
2026-08-13,0.009172,0.416498
2026-08-14,-0.000093,0.416367
2026-08-17,-0.008797,0.403907
2026-08-18,0.0073,0.414155
2026-08-19,0.01156,0.430503
2026-08-20,-0.013209,0.411608

Year,Your Portfolio,Equal Weight,S&P 500
2025,26.4%,22.9%,7.5%
2026,11.6%,10.0%,11.6%
